CORRECTIVE_ID,CONTROL_TEXT,CREATE_BY,CREATE_DATE,MODIFIED_BY,MODIFIED_DATE,CAUSE_TEXT
0001073,"Provide product impact assessment for each of the following tools:

CI-102     2-56 STI
CI-309     8-32 STI
CI-311     10-32 STI
CI-312     4-40 STI
CI-285 (special case)

No Product impact found.  All are STI taps that allow a helicoil to be inserted.  Insertion of the helicoil proves tapped hole was done correctly:

CI-102     2-56 STI   Last used on 1/14/21, WO 119148-000, NAS1130-02L10D was installed correctly on PN 1000212276.(see attached documents)

CI-309     8-32 STI     Last used on 11/14/22, WO 120864-000, NAS1130-08-15, was installec correctly on PN LT-60000542-00. (see attached documents)

CI-311     10-32 STI  Last used on 10/06/21, wo 119868-000, NAS1130-3-15, was installed correctly on PN LT-6000019-00. (see attached documents)

CI-312     4-40 STI Last used on 10/16/22, WO 120855-000, BAC112AE-CO410, was installed correctly on PN 842-447121-54. (see attached documents)


CI-285 (special case) note from QA Manager (previous) showing tool had been removed from service in February of 2021 attached.
",CHARRISON,"2023-07-17 18:08:34",NULL,NULL,"Failure of QA personnel to timley remove out of date calibration items from the production floor and get them out to calibration, quarantine them for future calibration, or dispose of them which results in potential impact to product quality."
0001074,"Redo assessment and provide objective evidence in support of finding.
Tools in questions are:
CI-056     Brix30    
CI-133     VI-2102/C
CI-160     Omega CT585B
CI-165     Temp Control Tank #1
CI-166     Temp Control Tank #3
CI-173     Omega DP132
CI-174     Omega DP132
CI-177     Omega DP132
CI-189     VI-3404C
CI-194     VI-EZ1C
Findings:  No product impact

Evidence:
CI-056     Brix30     Solution meant  to be calibrated each time.  Is stored out of cal.
CI-133     VI-2102/C    Found in tolerance (see attachment)
CI-160     Omega CT585B     Found in tolerance (see attachment)
CI-165     Temp Control Tank #1  Not meant to be calibrated (see calib. log)
CI-166     Temp Control Tank #3  Not meant to be calibrated (see calib.log)
CI-173     Omega DP132  Found in tolernace (see attachment)
CI-174     Omega DP132  Found in tolerance (see attachment)
CI-177     Omega DP132  Found in tolerance (see attachment)
CI-189     VI-3404C     Found in tolerance (see attachment)
CI-194     VI-EZ1C      Found in tolerance (see attachment)

",CHARRISON,"2023-07-17 18:08:35",NULL,NULL,"Previous Assignee didn't formally document their product accessment in the form of a CAR"
0001075,"Update CI-OSPO-8520 to instruct internal auditors to review past audits for any NCR's and/or CAR's that were in the same area that they will be currently auditing.  Provide training on the changes to QA personnel and all other auditors.",,"2023-07-17 18:08:35",NULL,NULL,"Current AS9100 has written an NCR (AS22-JC-14)that shows we are having repeat findings that were addressed on previous audits."
0001076,"Generate  policy to address these shortcomings",,"2023-07-17 18:08:36",NULL,NULL,"CI didn't have a policy for timely Lockout/Tagout of equipment that was sitting idle and went out of calibration with no external indiciation of a tag, or, with not logging ot it's status in the Gage Log"
0001077,"Update NADCAP check lists to contain proper CI Document/Paragraph Reference.",,"2023-07-17 18:08:36",NULL,NULL,"Original creator of check lists missed this requirement as well as the reviewing personnel"
0001078,"Provide separate section for review of Supplier performance and Quarterly Management Review meeting agenda.",,"2023-07-17 18:08:37",NULL,NULL,"Supplier performance is being indirectly addressed in a related section which was considered adequate by previous QA Managers"
0001079,"Close open CAR's (210649 & 210650), have GM monitor CAR log for timely closure of all CAR's",,"2023-07-17 18:08:37",NULL,NULL,"In the absence of a QA Manager, log was not being reviewed so CAR's were not being closed properly.  CARS were generated by the previous QA Manager and left open."
0001080,"Until QA Manager is hired and trained, GM will sign off on calibration certificates.",CHARRISON,"2023-07-17 18:08:38",NULL,NULL,"QA Manager positions was absent when the last batch of tools came back from calibration."
0001081,"1. Assure asset is tagged out or quanrantined. 2. Additional training for people who cover extra responsibilities . Training held 9/5/2023 reminded shop personnel to ensure calibration stickers are present and within date. Any exceptions have to be approved in writing by TKENT or CHARRISON. Shop personnel reminded to sign off travelers on 7/13 training (although not specifically addressed by record). Conversation with RM on 9/8/2023 established that there have been no problems with traveler signoff since stated training. Additionally, calibration now has published KPI to ensure gages are calibrated.",,"2023-07-17 18:08:38",NULL,NULL,"1. Awaiting outside Calibration
2. Empolyee covering additional open position
"
0001082,"Hire QA manager.  Hold Quarterly meetings facilitated by creation of a schedule given to all parties to assure the meetings are held.",,"2023-07-17 18:08:39",NULL,NULL,"No QA Manager to enforce policy and no designee to take his place"
